Concelho,Nome_Entidade,Frequência [MHz],PAR [W],Raio [Km],Morada_Estação,Local_Estação,PS,PI,AF,Cobertura,Microcobertura,Desc_Operador,Latitude PlaGE,Longitude PlaGE,Latitude Corrigida,Longitude Corrigida,Coord Corrig.,Distrito,Concelho,Freguesia
Miranda do Corvo,"Rádio Dueça - Informiranda, C.R.L.",     94.500000,500.000,33.2926313568806,SOURAVAS,VILA NOVA,,,,Local,Não,,40.038888889,-8.311388889,40.038888889,-8.313333333,Sim,Coimbra,Miranda do Corvo,Vila Nova
Miranda do Douro,"Rádio e Televisão de Portugal, S.A.",     90.300000,50.000,18.721822436302,Lameirão (Restolha),MIRANDA DO DOURO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.497777778,-6.278055556,41.496388889,-6.284444444,Sim,Bragança,Miranda do Douro,Miranda do Douro
Miranda do Douro,"Rádio e Televisão de Portugal, S.A.",     95.700000,50.000,18.721822436302,Lameirão (Restolha),MIRANDA DO DOURO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.497777778,-6.278055556,41.496388889,-6.284444444,Sim,Bragança,Miranda do Douro,Miranda do Douro
Miranda do Douro,"Rádio e Televisão de Portugal, S.A.",     98.900000,50.000,18.721822436302,Lameirão (Restolha),MIRANDA DO DOURO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.497777778,-6.278055556,41.496388889,-6.284444444,Sim,Bragança,Miranda do Douro,Miranda do Douro
Mirandela,"SIT - Sociedade de Informação de Trás-os-Montes, Lda.",    105.200000,1000.000,39.5918340867651,SERRA DOS PASSOS,SOALHEIRO,T.QUENTE,8475.000,S,Local,Não,,41.463888889,-7.289166667,41.4625,-7.290277778,Sim,Bragança,Mirandela,Passos
Mirandela,"SIT - Sociedade de Informação de Trás-os-Montes, Lda.",    105.500000,50.000,18.721822436302,"AV. DOS BOMBEIROS VOLUNTÁRIOS, 47 S/L",MIRANDELA,T.QUENTE,8475.000,S,Local,Sim,,41.482777778,-7.176111111,41.483611111,-7.177222222,Sim,Bragança,Mirandela,Mirandela
Mogadouro,"Rádio Planalto, C.R.L.",     93.100000,1000.000,39.5918340867651,SERRA DA CASTANHEIRA,Castanheira,M80PNALT,809E,N,Local,Não,,41.392777778,-6.607222222,41.391666667,-6.606944444,Sim,Bragança,Mogadouro,"Brunhozinho, Castanheira e Sanhoane"
Moimenta da Beira,"Rádio Riba Távora, C.R.L.",     90.500000,1000.000,39.5918340867651,CARAPITO,ALDEIA DE NACOMBA,RRTAVORA,84C2,S,Local,Não,,40.950555556,-7.616944444,40.950555556,-7.616666667,Sim,Viseu,Moimenta da Beira,"Pêra Velha, Aldeia de Nacomba e Ariz"
Moimenta da Beira,"Rádio Riba Távora, C.R.L.",    100.400000,50.000,18.721822436302,CABAÇOS,Moimenta da Beira,RRTAVORA,84C2,S,Local,Sim,,41.026111111,-7.573888889,41.026111111,-7.573611111,Sim,Viseu,Moimenta da Beira,Cabaços
Moita,"BAOBAD - Comunicações e Publicações, S.A.",     96.200000,2000.000,47.0828907919883,QUINTA DE S. JOSÉ - ARROTEIAS,ALHOS VEDROS,ESTADIO,8041.000,N,Local,Não,,38.638333333,-9.005555556,38.638333333,-9.005555556,Não,Setúbal,Moita,Alhos Vedros
Moita,"R.C.C.I. - Rádio, Comunicação, Criatividade e Imagem, Lda.",     95.300000,1499.996,43.8155377411907,ALTO DO CARVALHINHO,MOITA,TROPICAL,8049.000,N,Local,Não,,38.656666667,-8.980555556,38.656666667,-8.980555556,Não,Setúbal,Moita,Moita
Moita,"Rádio Nacional - Emissões de Radiodifusão, Unipessoal, Lda.",    103.000000,2000.000,47.0828907919883,QUINTA DE S. JOSÉ - ARROTEIAS,ALHOS VEDROS,SMOOTH,802F,N,Local,Não,,38.638333333,-9.005555556,38.638333333,-9.005555556,Não,Setúbal,Moita,Alhos Vedros
Moita,"R.C. - Empresa de Radiodifusão, S.A.",    101.100000,1499.996,43.8155377411907,QUINTA DE S. JOSÉ - ARROTEIAS,ALHOS VEDROS,BEST FM,8073.000,N,Local,Não,,38.638333333,-9.005555556,38.638333333,-9.005555556,Não,Setúbal,Moita,Alhos Vedros
Monchique,"Rádio e Televisão de Portugal, S.A.",     88.900000,25000.000,88.5300323719002,ALTO DA FÓIA,MONCHIQUE,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,37.318055556,-8.589444444,37.318055556,-8.589444444,Não,Faro,Monchique,Monchique
Monchique,"Rádio e Televisão de Portugal, S.A.",     91.500000,25000.000,88.5300323719002,ALTO DA FÓIA,MONCHIQUE,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,37.318055556,-8.589444444,37.318055556,-8.589444444,Não,Faro,Monchique,Monchique
Monchique,"Rádio e Televisão de Portugal, S.A.",    101.900000,25000.000,88.5300323719002,ALTO DA FÓIA,MONCHIQUE,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,37.318055556,-8.589444444,37.318055556,-8.589444444,Não,Faro,Monchique,Monchique
Monchique,"Rádio Comercial, S.A.",     88.100000,10000.000,70.4053433621716,ALTO DA FÓIA,MONCHIQUE,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,37.315277778,-8.589444444,37.315277778,-8.589444444,Não,Faro,Monchique,Monchique
Monchique,"Rádio Regional de Lisboa - Emissões de Radiodifusão, S.A.",    107.100000,10000.000,70.4053433621716,ALTO DA FOIA,MONCHIQUE,M80,8332.000,S,Regional,Não,Cobertura Regional Sul,37.315277778,-8.589444444,37.315277778,-8.589444444,Não,Faro,Monchique,Monchique
Monchique,"Rádio Renascença, Lda.",     98.600000,11999.966,73.688654167593,ALTO DA FÓIA,MONCHIQUE,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,37.311666667,-8.597777778,37.311666667,-8.597777778,Não,Faro,Monchique,Monchique
Monchique,"Rádio Renascença, Lda.",    104.900000,11999.966,73.688654167593,ALTO DA FÓIA,MONCHIQUE,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,37.311666667,-8.597777778,37.311666667,-8.597777778,Não,Faro,Monchique,Monchique
Monchique,"Rádio Fóia, C.R.L.",     97.100000,500.000,33.2926313568806,ALTO DA FÓIA,MONCHIQUE,FOIA,80BE,N,Local,Não,,37.311666667,-8.597777778,37.315277778,-8.587222222,Sim,Faro,Monchique,Monchique
Monchique,"R.T.A. - Sociedade de Radiodifusão e Telecomunicações de Albufeira, Unipessoal, Lda.",     91.800000,2000.000,47.0828907919883,CERRO DO CALHAU DO CORVO,ALFERCE,RECORD A,809D,N,Local,Não,,37.315,-8.5025,37.315277778,-8.501944444,Sim,Faro,Monchique,Alferce
Montalegre,"INFOR-BARROSO - Informação, Lda.",     97.500000,500.000,33.2926313568806,CABESES DO RIO - MONTALEGRE,MONTE DO FACHO,MONTLEGR,8057.000,N,Local,Não,,41.793055556,-7.818055556,41.793055556,-7.818055556,Não,Vila Real,Montalegre,Montalegre e Padroso
Montemor-o-Novo,"Janela Indiscreta - Sociedade de Comunicação, Lda.",    101.300000,2000.000,47.0828907919883,CABEÇO DE SANTO ANDRÉ,MONTEMOR-O-NOVO,RNA-M,80.000,N,Local,Não,,38.669444444,-8.207777778,38.666944444,-8.209722222,Sim,Évora,Montemor-o-Novo,"N.S. da Vila, N.S. do Bispo e Silveiras"
Montemor-o-Velho,"RADIBELI - Produções Radiofónicas, Lda.",    101.700000,1000.000,39.5918340867651,TORRE CARAPINHEIRA,MONTEMOR-O-VELHO,BLITORAL,80F0,N,Local,Não,,40.201666667,-8.668611111,40.202222222,-8.668888889,Sim,Coimbra,Montemor-o-Velho,Montemor-o-Velho e Gatões
Montijo,"Som do Pinhal II - Multimédia, Unipessoal, Lda.",     90.900000,1499.996,43.8155377411907,R. UNIAO CL. JARDIENSE,JARDIA,POPULAR,8072.000,N,Local,Não,,38.665833333,-8.925,38.665833333,-8.925,Não,Setúbal,Montijo,Atalaia e Alto Estanqueiro-Jardia
Montijo,"CÔCO - Companhia de Comunicação, Lda.",    106.200000,1000.000,39.5918340867651,CAMPO FUTEBOL CLUBE JARDIENSE,MONTIJO,CIDADE T,8096.000,N,Local,Não,,38.665555556,-8.925,38.665555556,-8.925,Não,Setúbal,Montijo,Atalaia e Alto Estanqueiro-Jardia
Moura,"SEB - Sociedade Editorial Bética, Lda.",     92.800000,500.000,33.2926313568806,DEPOSITO DE AGUA,MOURA,RP-MOURA,8008.000,N,Local,Não,,38.138888889,-7.447777778,38.135555556,-7.447777778,Sim,Beja,Moura,Santo Agostinho e São João Baptista e Santo Amador
Mourão,"Rádio Corval, CRL",     96.200000,500.000,33.2926313568806,BALDIO DE VALE DE LAPA,MOURÃO,ALENTEJO,80D9,N,Local,Não,,38.385277778,-7.346111111,38.380555556,-7.349722222,Sim,Évora,Mourão,Mourão
Murtosa,"Saldida F.M. - Rádio, Informação e Cultura, C.R.L.",     98.100000,500.000,33.2926313568806,ESTRADA DA VARELA - DEPÓSITO DA ÁGUA,MURTOSA,SFM,80AA,N,Local,Não,,40.760833333,-8.643333333,40.760833333,-8.643333333,Sim,Aveiro,Murtosa,Bunheiro
Nazaré,"Meia Maratona Internacional da Nazaré, Associação de Cultura e Desporto",    100.600000,1000.000,39.5918340867651,B URBISOL LT 37/38,NAZARÉ,NAZAREFM,806E,N,Local,Não,,39.605555556,-9.070833333,39.605833333,-9.069444444,Sim,Leiria,Nazaré,Nazaré
Nelas,"Rádio Amador de Canas de Senhorim, C.R.L.",     96.800000,1000.000,39.5918340867651,TORRE DA TMN - ZONA DESPORTIVA DE NELAS,NELAS,WWW968FM,8063.000,N,Local,Não,,40.542222222,-7.844444444,40.540833333,-7.845833333,Sim,Viseu,Nelas,Nelas
Nordeste,"Rádio e Televisão de Portugal, S.A.",    104.600000,100.000,22.2641244470679,SÃO MIGUEL,NORDESTE,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.835277778,-25.161944444,37.835277778,-25.161944444,Não,Açores São Miguel,Nordeste,Lomba da Fazenda
Nordeste,"Rádio e Televisão de Portugal, S.A.",     92.700000,1000.000,39.5918340867651,SÂO MIGUEL,PICO BARTOLOMEU,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.778333333,-25.169444444,37.778333333,-25.169444444,Não,Açores São Miguel,Nordeste,Nordeste
Nordeste,"Rádio e Televisão de Portugal, S.A.",    103.700000,1000.000,39.5918340867651,NORDESTINHO,NORDESTINHO - ALGARVIA,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.85,-25.231388889,37.851388889,-25.231111111,Sim,Açores São Miguel,Nordeste,Algarvia
Nordeste,"Rádio e Televisão de Portugal, S.A.",     89.900000,500.000,33.2926313568806,SÃO MIGUEL,PICO BARTOLOMEU,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.778333333,-25.169444444,37.778333333,-25.169444444,Não,Açores São Miguel,Nordeste,Nordeste
Nordeste,"Rádio e Televisão de Portugal, S.A.",     91.800000,1000.000,39.5918340867651,NORDESTINHO,NORDESTINHO - ALGARVIA,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.85,-25.231388889,37.851388889,-25.231111111,Sim,Açores São Miguel,Nordeste,Algarvia
Nordeste,"Rádio e Televisão de Portugal, S.A.",     99.100000,1000.000,39.5918340867651,SÃO MIGUEL,PICO BARTOLOMEU,,,,Nacional,Não,Rede 3 de Cobertura Nacional,37.778333333,-25.169444444,37.778333333,-25.169444444,Não,Açores São Miguel,Nordeste,Nordeste
Nordeste,"Rádio e Televisão de Portugal, S.A.",     95.800000,100.000,22.2641244470679,SÃO MIGUEL,NORDESTE,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.835277778,-25.161944444,37.835277778,-25.161944444,Não,Açores São Miguel,Nordeste,Lomba da Fazenda
Nordeste,"Rádio e Televisão de Portugal, S.A.",     88.000000,100.000,22.2641244470679,SÃO MIGUEL,NORDESTE,,,,Nacional,Não,Rede 3 de Cobertura Nacional,37.835277778,-25.161944444,37.835277778,-25.161944444,Não,Açores São Miguel,Nordeste,Lomba da Fazenda
Nordeste,"Costa & Osório, Unipessoal, Lda.",     91.500000,50.000,18.721822436302,PEDREIRA - SÃO MIGUEL,PICO BARTOLOMEU,CANAL FM,847F,S,Local,Sim,,37.778055556,-25.168611111,37.778055556,-25.168611111,Não,Açores São Miguel,Nordeste,Nordeste
Nordeste,"Super Onda, Unipessoal, Lda.",    106.000000,50.000,18.721822436302,SÃO MIGUEL,PICO BARTOLOMEU,R8O,84F7,S,Local,Sim,,37.778055556,-25.169166667,37.778055556,-25.169166667,Não,Açores São Miguel,Nordeste,Nordeste
Óbidos,"ERO - Empresa Radiodifusão Oeste, Lda.",     91.000000,1000.000,39.5918340867651,GAEIRAS,ALTO DAS GAEIRAS,91 FM,8091,N,Local,Não,,39.375277778,-9.112222222,39.375277778,-9.112222222,Não,Leiria,Óbidos,Gaeiras
Olhão,Associação Rádio Universitária do Algarve,    102.700000,500.000,33.2926313568806,CERRO DE SÃO MIGUEL,FARO,RUA FM,80FF,N,Local,Não,,37.102222222,-7.83,37.102222222,-7.83,Sim,Faro,Olhão,Moncarapacho e Fuseta
Olhão,"Rádio Comercial, S.A.",     96.100000,10000.000,70.4053433621716,CERRO DE SÃO MIGUEL,FARO,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,37.102222222,-7.83,37.102222222,-7.83,Sim,Faro,Olhão,Moncarapacho e Fuseta
Olhão,"Rádio Regional de Lisboa - Emissões de Radiodifusão, S.A.",    106.100000,10000.000,70.4053433621716,CERRO DE SÃO MIGUEL,FARO,M80,8332.000,S,Regional,Não,Cobertura Regional Sul,37.102222222,-7.83,37.102222222,-7.83,Sim,Faro,Olhão,Moncarapacho e Fuseta
Olhão,"Rádio Renascença, Lda.",     89.600000,10000.000,70.4053433621716,CERRO DE SÃO MIGUEL,FARO,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,37.1,-7.829166667,37.1,-7.829166667,Não,Faro,Olhão,Moncarapacho e Fuseta
Olhão,"Rádio Renascença, Lda.",    103.800000,10000.000,70.4053433621716,CERRO DE SÃO MIGUEL,FARO,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,37.1,-7.829166667,37.1,-7.829166667,Não,Faro,Olhão,Moncarapacho e Fuseta
Olhão,"TSF - Cooperativa Rádio Jornal do Algarve, C.R.L.",    101.600000,1000.000,39.5918340867651,CERRO DE SÃO MIGUEL,FARO,T S F,8343.000,S,Local,Não,,37.1,-7.829166667,37.1,-7.829166667,Não,Faro,Olhão,Moncarapacho e Fuseta
Oliveira de Azeméis,"BAOBAD - Comunicações e Publicações, S.A.",     88.100000,1000.000,39.5918340867651,CARREGOSA,SERRA DA VACARIA,OBSRVDOR,809F,S,Local,Não,,40.898333333,-8.391666667,40.896388889,-8.395277778,Sim,Aveiro,Oliveira de Azeméis,Carregosa
Oliveira de Azeméis,"Cloverpress, Lda.",     97.100000,500.000,33.2926313568806,LARGO LUÍS DE CAMÕES,OLIVEIRA DE AZEMÉIS,CAIMA FM,804A,N,Local,Não,,40.838888889,-8.479722222,40.838888889,-8.479722222,,Aveiro,Oliveira de Azeméis,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail"
Oliveira de Azeméis,"Popquestion II - Comunicação, Lda.",     89.700000,1000.000,39.5918340867651,LARGO LUÍS DE CAMÕES,OLIVEIRA DE AZEMÉIS,AZFM,8028.000,N,Local,Não,,40.838888889,-8.479722222,40.839166667,-8.479722222,Sim,Aveiro,Oliveira de Azeméis,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail"
Oliveira de Azeméis,"Inforádio - Comunicação Social, S.A.",    106.300000,1000.000,39.5918340867651,SERRA DA VACARIA,VACARIA,IN4MEDIA,80EB,N,Local,Não,,40.898333333,-8.391666667,40.898055556,-8.393888889,Sim,Aveiro,Oliveira de Azeméis,Carregosa
Oliveira do Hospital,"Cooperativa Rádio Boa Nova, C.R.L.",    100.200000,500.000,33.2926313568806,SENHOR DAS ALMAS,OLIVEIRA DO HOSPITAL,BOA NOVA,8023.000,N,Local,Não,,40.330555556,-7.863888889,40.335277778,-7.862222222,Sim,Coimbra,Oliveira do Hospital,Nogueira do Cravo
Ourique,"Rádio Ourique, Lda.",     94.200000,500.000,33.2926313568806,CASTELO DE OURIQUE,OURIQUE,OURIQUE,80EF,N,Local,Não,,37.654166667,-8.226111111,37.654166667,-8.226111111,Sim,Beja,Ourique,Ourique
Ovar,"Antena Vareira - Cooperativa Cultural e Recreativa, C.R.L.",     98.700000,1000.000,39.5918340867651,Rua Doutor Manuel Arala,Ovar,AVFM,8098.000,N,Local,Não,,40.860277778,-8.632777778,40.86,-8.6325,Sim,Aveiro,Ovar,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã"
Ovar,Comissão de Melhoramentos de Esmoriz,     93.100000,1000.000,39.5918340867651,AV 29 MARCO,ESMORIZ,RVE-93.1,80D9,N,Local,Não,,40.955,-8.625,40.955,-8.626111111,Sim,Aveiro,Ovar,Esmoriz
Paços de Ferreira,"Rádio Paços - Comunicação Regional, Lda.",    101.800000,1000.000,39.5918340867651,BOAVISTA - MODELOS,PAÇOS DE FERREIRA,R.C.P.F.,8078,N,Local,Não,,41.2625,-8.3775,41.262777778,-8.377777778,Sim,Porto,Paços de Ferreira,Paços de Ferreira
Palmela,"RÁDIO PAL - Sociedade Unipessoal, Lda.",    102.200000,2000.000,47.0828907919883,AV. BOMBEIROS VOLUNTARIOS,PALMELA,RMARIA,80B2,N,Local,Não,,38.566666667,-8.901111111,38.566666667,-8.901111111,Não,Setúbal,Palmela,Palmela
Palmela,"Rádio Voz de Setúbal, Lda.",    100.600000,2000.000,47.0828907919883,ESTRADA CEMITÉRIO,PALMELA,AMALIA S,803D,N,Local,Não,,38.568055556,-8.898333333,38.568055556,-8.898333333,Não,Setúbal,Palmela,Palmela
Paredes,"Rádio Nova Era, Sociedade de Comunicações, S.A.",    100.100000,2000.000,47.0828907919883,SERRA DO MURO,Baltar,NOVA ERA,8055.000,N,Local,Não,,41.201944444,-8.386666667,41.201944444,-8.386666667,Não,Porto,Paredes,Vandoma
Paredes,"Rádio Objectiva, Lda.",    103.600000,500.000,33.2926313568806,SERRA DE VANDOMA,PAREDES,JORNALFM,808B,N,Local,Não,,41.201111111,-8.39,41.201111111,-8.39,Não,Porto,Paredes,Vandoma
Paredes de Coura,"Rádio e Televisão de Portugal, S.A.",    102.900000,100.000,22.2641244470679,PAREDES DE COURA,PAREDES DE COURA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.907222222,-8.565833333,41.908611111,-8.564166667,Sim,Viana do Castelo,Paredes de Coura,Paredes de Coura e Resende
Paredes de Coura,"Rádio e Televisão de Portugal, S.A.",     88.000000,100.000,22.2641244470679,PAREDES DE COURA,PAREDES DE COURA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.907222222,-8.565833333,41.908611111,-8.564166667,Sim,Viana do Castelo,Paredes de Coura,Paredes de Coura e Resende
Paredes de Coura,"Rádio e Televisão de Portugal, S.A.",     92.300000,100.000,22.2641244470679,PAREDES DE COURA,PAREDES DE COURA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.907222222,-8.565833333,41.908611111,-8.564166667,Sim,Viana do Castelo,Paredes de Coura,Paredes de Coura e Resende
Penacova,"Flor de Éter, Radiodifusão, Lda.",     99.700000,1000.000,39.5918340867651,SERRA ROXO,AVELEIRA,CIDADE C,80F6,N,Local,Não,,40.258888889,-8.349166667,40.258333333,-8.349444444,Sim,Coimbra,Penacova,Lorvão
Penafiel,"Rádio Renascença, Lda.",     90.200000,1000.000,39.5918340867651,RUA DO RADAR - SANTA MARTA,PENAFIEL,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.214166667,-8.265555556,41.214166667,-8.265555556,Sim,Porto,Penafiel,Penafiel
Penafiel,"Rádio Renascença, Lda.",    102.300000,1000.000,39.5918340867651,RUA DO RADAR - SANTA MARTA,PENAFIEL,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.214166667,-8.265555556,41.214166667,-8.265555556,Sim,Porto,Penafiel,Penafiel
Penafiel,"Rádio Clube de Penafiel, C.R.L.",     91.800000,2000.000,47.0828907919883,LUZIM,PENAFIEL,PENAFIEL,805F,N,Local,Não,,41.171666667,-8.262777778,41.170833333,-8.263333333,Sim,Porto,Penafiel,Duas Igrejas
Penamacor,"RÁDIO VOZ DA RAIA - Sociedade Unipessoal, Lda.",     87.700000,1000.000,39.5918340867651,DEPOSITO DE AGUA,PENAMACOR,VOZ RAIA,80AC,N,Local,Não,,40.170277778,-7.174166667,40.170277778,-7.174444444,Sim,Castelo Branco,Penamacor,Penamacor
Peniche,"HORA H - Agência Global Comunicação, Lda.",    102.000000,1000.000,39.5918340867651,,SERRA DE EL REI,102FM,80A9,N,Local,Não,,39.330277778,-9.266666667,39.330277778,-9.266666667,Não,Leiria,Peniche,Serra d'El-Rei
Pinhel,"Rádio Elmo, Lda.",     99.100000,1000.000,39.5918340867651,VALE MADEIRA,PINHEL,ELMO FM,804D,N,Local,Não,,40.763055556,-7.028333333,40.763055556,-7.028333333,Não,Guarda,Pinhel,Alto do Palurdo
Pombal,"Rádio Clube de Pombal, CRL",     97.000000,1000.000,39.5918340867651,,SERRA DO SICÓ,POMBAL97,8047.000,N,Local,Não,,39.920277778,-8.540833333,39.920277778,-8.540833333,Não,Leiria,Pombal,Vila Cã
Pombal,"Rádio Cardal, Lda.",     87.600000,1000.000,39.5918340867651,SERRA DO SICO,POMBAL,CARDALFM,8094.000,N,Local,Não,,39.920555556,-8.540555556,39.920555556,-8.540555556,Sim,Leiria,Pombal,Vila Cã
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",     94.100000,50118.723,105.342984927451,"Rua do Castelo Branco, 10",Ponta Delgada,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.744444444,-25.671666667,37.744444444,-25.671666667,Não,Açores São Miguel,Ponta Delgada,Ponta Delgada (São Sebastião)
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",    100.800000,5000.000,59.203600847957,"Rua do Castelo Branco, 10",Ponta Delgada,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.744444444,-25.671666667,37.744444444,-25.671666667,Não,Açores São Miguel,Ponta Delgada,Ponta Delgada (São Sebastião)
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",     92.200000,1000.000,39.5918340867651,SÂO MIGUEL,CASCALHO NEGRO,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.8525,-25.814722222,37.853611111,-25.814444444,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",     89.500000,10000.000,70.4053433621716,PICO DAS ÉGUAS,FETEIRAS,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.82,-25.753611111,37.819166667,-25.751111111,Não,Açores São Miguel,Ponta Delgada,Feteiras
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",    104.200000,1000.000,39.5918340867651,SÃO MIGUEL,CASCALHO NEGRO,,,,Nacional,Não,Rede 3 de Cobertura Nacional,37.8525,-25.814722222,37.853611111,-25.814444444,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",    103.300000,1000.000,39.5918340867651,SÃO MIGUEL,CASCALHO NEGRO,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.8525,-25.814722222,37.853611111,-25.814444444,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",     95.500000,100.000,22.2641244470679,MIRADOURO DO ESCALVADO,Várzea,,,,Nacional,Não,Rede 1 de Cobertura Nacional,37.870833333,-25.841388889,37.870833333,-25.841388889,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",    105.200000,100.000,22.2641244470679,MIRADOURO DO ESCALVADO,Várzea,,,,Nacional,Não,Rede 2 de Cobertura Nacional,37.870833333,-25.841388889,37.870833333,-25.841388889,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Rádio e Televisão de Portugal, S.A.",    107.000000,100.000,22.2641244470679,MIRADOURO DO ESCALVADO,Várzea,,,,Nacional,Não,Rede 3 de Cobertura Nacional,37.870833333,-25.841388889,37.870833333,-25.841388889,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"ATLANTIRÁDIO - Sociedade de Radiodifusão, Lda.",    106.300000,50.000,18.721822436302,EDIFÍCIO SOLMAR,PONTA DELGADA,ATLANTDA,84CB,S,Local,Sim,,37.752777778,-25.6575,37.752777778,-25.6575,Não,Açores São Miguel,Ponta Delgada,Ponta Delgada (São Pedro)
Ponta Delgada,"ATLANTIRÁDIO - Sociedade de Radiodifusão, Lda.",     93.000000,50.000,18.721822436302,SETE CIDADES - PONTA DELGADA,CASCALHO NEGRO,ATLANTDA,84CB,S,Local,Sim,,37.8525,-25.814722222,37.8525,-25.814722222,Não,Açores São Miguel,Ponta Delgada,Ginetes
Ponta Delgada,"Top Rádio, Lda.",     98.400000,50.000,18.721822436302,,SETE CIDADES,TOP,84A2,S,Local,Sim,,37.838333333,-25.797222222,37.838333333,-25.797222222,Não,Açores São Miguel,Ponta Delgada,Candelária
Ponta do Sol,"Ramos, Marques e Vasconcelos, Lda.",    103.700000,500.000,33.2926313568806,SITIO DAS MURTEIRAS,CANHAS,R SOL,8028.000,N,Local,Não,,32.690277778,-17.107222222,32.694722222,-17.110555556,Sim,Madeira,Ponta do Sol,Ponta do Sol
Ponte da Barca,"Rádio e Televisão de Portugal, S.A.",     88.300000,10000.000,70.4053433621716,SERRA AMARELA,Ponte da Barca,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.813611111,-8.193888889,41.813611111,-8.193888889,Sim,Viana do Castelo,Ponte da Barca,Lindoso
Ponte da Barca,"Rádio e Televisão de Portugal, S.A.",     94.600000,10000.000,70.4053433621716,SERRA AMARELA,Ponte da Barca,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.813611111,-8.193888889,41.813611111,-8.193888889,Sim,Viana do Castelo,Ponte da Barca,Lindoso
Ponte da Barca,"Rádio e Televisão de Portugal, S.A.",    102.000000,10000.000,70.4053433621716,SERRA AMARELA,Ponte da Barca,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.813611111,-8.193888889,41.813611111,-8.193888889,Sim,Viana do Castelo,Ponte da Barca,Lindoso
Ponte da Barca,"Rádio Renascença, Lda.",     90.400000,20000.000,83.7265352605041,SERRA AMARELA,MURO,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.813611111,-8.194722222,41.813611111,-8.194722222,Sim,Viana do Castelo,Ponte da Barca,Lindoso
Ponte da Barca,"Rádio Renascença, Lda.",    103.400000,10000.000,70.4053433621716,SERRA AMARELA,MURO,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.813611111,-8.194722222,41.813611111,-8.194722222,Sim,Viana do Castelo,Ponte da Barca,Lindoso
Ponte de Lima,"Rádio e Televisão de Portugal, S.A.",     89.200000,500.000,33.2926313568806,PONTE DE LIMA,RENDUFE,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.859444444,-8.549722222,41.859444444,-8.549444444,Sim,Viana do Castelo,Ponte de Lima,"Labrujó, Rendufe e Vilar do Monte"
